ema9,ema15,ema_distance,volatility,label
4537.556131,4537.50886,0.047271,0.462236,0
4537.462905,4537.4565,0.006405,0.45685,0
4537.378324,4537.404372,-0.026049,0.45685,0
4537.316659,4537.362717,-0.046058,0.477917,0
4537.254262,4537.31232,-0.058059,0.481779,0
4537.003409,4537.148244,-0.144834,0.639313,0
4536.634727,4536.899695,-0.264967,0.882318,0
4536.309782,4536.663485,-0.353703,0.951499,0
4535.869826,4536.344279,-0.474454,1.141991,0
4535.66586,4536.157422,-0.491562,1.185282,0
4535.318688,4535.878848,-0.560161,1.297295,0
4535.03495,4535.631526,-0.596575,1.329438,0
4534.68996,4535.341391,-0.65143,1.346921,0
4534.411968,4535.086257,-0.674289,1.201913,0
4534.187575,4534.861749,-0.674174,0.929004,0
4534.00806,4534.665289,-0.657229,0.751831,0
4533.944448,4534.543394,-0.598946,0.638206,0
